"","ID","gc","DSI_F","DSI_M","state","n_adults","n_adults_squared","mean_tmax_30d","season","rain_anom_3mo","proprank","avg_mat_kin","avg_age","avg_density","percent_days_with_infant","percent_days_cycling","age_sample","hydroyear","grp","adv_rain","adv_sib","adv_density","adv_mom","adv_mom_rank","adv_mom_dsi","adv_cumulative"
"50",1,4.44017761131591,2.264649111,1.257438052,"Cycling",16,256,33.5862069,"Wet",-13.69285714,0.875,1,6.67761807,13.75342466,0.208219178,0.076712329,7.175906913,"2006",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"51",1,3.86681641259007,2.322601067,1.348636292,"Cycling",16,256,33.56666667,"Wet",-16.34651163,0.875,1,6.691307324,13.73972603,0.208219178,0.090410959,7.189596167,"2006",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"52",1,4.43105486574124,2.335061822,1.365380518,"Cycling",16,256,33.4,"Wet",-23.56744186,0.875,1,6.702258727,13.72876712,0.208219178,0.101369863,7.20054757,"2006",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"53",1,4.24849524204936,2.365335063,1.329661969,"Cycling",16,256,33.23333333,"Wet",-19.35581395,0.875,1,6.707734428,13.72328767,0.208219178,0.106849315,7.206023272,"2006",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"54",1,4.80352912047967,2.081091096,0.545725308,"Cycling",16,256,32.53333333,"Wet",-43.61860465,0.875,1,6.737850787,13.69315068,0.208219178,0.136986301,7.23613963,"2006",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"55",1,3.96347628701706,2.074811411,0.525751236,"Cycling",16,256,32.8,"Wet",-56.23488372,0.875,1,6.751540041,13.67945205,0.208219178,0.150684932,7.249828884,"2006",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"56",1,4.70718511139482,2.067981652,0.52480775,"Cycling",16,256,33.13333333,"Wet",-63.80930233,0.875,1,6.759753593,13.67123288,0.208219178,0.15890411,7.258042437,"2006",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"57",1,5.35450864619778,2.056865217,0.516506519,"Cycling",16,256,33.23333333,"Wet",-72.78372093,0.875,1,6.776180698,13.65479452,0.208219178,0.175342466,7.274469541,"2006",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"58",1,3.49923112193352,2.036740196,0.496664868,"Cycling",16,256,33.5,"Wet",-84.50465116,0.875,1,6.789869952,13.64109589,0.208219178,0.189041096,7.288158795,"2006",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"59",1,3.72617523885763,2.040403838,0.503363936,"Cycling",14,196,34.16666667,"Wet",-91.85348837,0.875,1,6.800821355,13.62465753,0.208219178,0.2,7.299110198,"2006",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"60",1,4.11283914485827,2.033530006,0.48471291,"Cycling",15,225,34.03333333,"Wet",-123.7375,0.875,1,6.828199863,13.59452055,0.208219178,0.22739726,7.326488706,"2006",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"61",1,4.14265842250065,2.039596775,0.484707966,"Cycling",16,256,34,"Wet",-125.95625,0.875,1,6.844626968,13.61369863,0.208219178,0.243835616,7.342915811,"2006",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"62",1,4.6552927953913,2.128041618,0.680424545,"Cycling",16,256,35.06896552,"Wet",-142.45625,0.875,1,6.937713895,13.88219178,0.208219178,0.336986301,7.436002738,"2006",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"63",1,4.02767042895411,2.128682126,0.676647836,"Cycling",16,256,36.06666667,"Wet",-141.784375,0.875,1,6.962354552,14.00547945,0.208219178,0.361643836,7.460643395,"2006",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"64",1,4.13564644157921,1.938211786,1.063874201,"Cycling",16,256,35.89655172,"Wet",-79.75625,0.875,1,6.98973306,14.12328767,0.208219178,0.389041096,7.488021903,"2006",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"65",1,4.35786200767458,1.942463328,1.104349671,"Cycling",15,225,35.48275862,"Wet",-47.978125,0.875,1,7.014373717,14.2,0.208219178,0.41369863,7.51266256,"2006",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"66",1,4.41158543691543,1.96619269,1.1793816,"Cycling",15,225,35.03448276,"Wet",-42.85,0.875,1,7.030800821,14.24931507,0.208219178,0.430136986,7.529089665,"2006",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"67",1,5.35658627467201,1.734757478,1.656458864,"Cycling",16,256,31.86206897,"Wet",40.5372093,0.875,1,7.184120465,14.8,0.079452055,0.583561644,7.682409309,"2006",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"68",1,6.20320331035875,1.745697955,1.654293943,"Cycling",16,256,31.89655172,"Wet",43.49069767,0.875,1,7.189596167,14.82191781,0.073972603,0.589041096,7.68788501,"2006",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
"69",1,4.5107496103686,1.713460172,1.196227097,"Cycling",16,256,32.60714286,"Dry",10.17906977,0.875,1,7.244353183,14.99178082,0.019178082,0.643835616,7.742642026,"2006",1.21,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
